Estación:       CULIACAN,  SIN
Operada por:    SMN ESIME
Longitud:       107°26'27"  Longitud: 24°38'05"  Altitud: 22

DD/MM/AAAA HH:MM      DIRS      DIRR  RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RADSOL
31/01/2018 16:00
31/01/2018 16:10
31/01/2018 16:20
31/01/2018 16:30
31/01/2018 16:40
31/01/2018 16:50
31/01/2018 17:00
31/01/2018 17:10
31/01/2018 17:20
31/01/2018 17:30
31/01/2018 17:40
31/01/2018 17:50
31/01/2018 18:00
31/01/2018 18:10         166         226        2.60        4.50        23.3          51
31/01/2018 18:20         160         239        2.50        4.20        23.0          54      1013.3         0.0       166.0
31/01/2018 18:30         153         316        2.10        4.20        23.1          55      1013.2         0.0       170.0
31/01/2018 18:40         140         205        1.60        3.00        23.1          56      1013.1         0.0       166.0
31/01/2018 18:50         158         221        1.40        2.90        23.4          56      1013.0         0.0       206.0
31/01/2018 19:00         151         209        1.50        3.30        23.6          56      1012.9         0.0       245.0
31/01/2018 19:10         167         236        1.90        3.40        23.9          56      1012.8         0.0       255.0
31/01/2018 19:20         159         258        2.20        3.90        24.2          55      1012.5         0.0       246.0
31/01/2018 19:30         168         220        1.80        3.30        24.4          55      1012.4         0.0       224.0
31/01/2018 19:40         173         305        1.80        3.30        24.6          54      1012.3         0.0       180.0
31/01/2018 19:50         160         305        1.80        3.80        24.5          55      1012.1         0.0       165.0
31/01/2018 20:00         161         227        1.40        2.70        24.5          56      1011.9         0.0       161.0
31/01/2018 20:10         151         203        1.50        2.70        24.5          57      1011.8         0.0       163.0
31/01/2018 20:20         180         224        1.90        3.10        24.6          56      1011.7         0.0       179.0
31/01/2018 20:30         189         222        1.90        3.10        24.6          56      1011.6         0.0       163.0
31/01/2018 20:40         179         226        1.50        2.50        24.4          56      1011.6         0.0       147.0
31/01/2018 20:50         194         222        2.10        3.30        24.3          56      1011.7         0.0       127.0
31/01/2018 21:00         187         231        2.10        3.60        24.2          51      1011.8         0.0        99.0
31/01/2018 21:10         185         222        2.30        4.00        24.2          51      1011.9         0.0       111.0
31/01/2018 21:20         208         249        2.60        4.50        23.9          52      1012.0         0.0       129.0
31/01/2018 21:30         193         216        2.70        4.30        24.0          54      1012.0         0.0       169.0
31/01/2018 21:40         186         233        2.20        3.80        24.3          55      1011.9         0.0       208.0
31/01/2018 21:50         220         271        2.10        3.70        24.2          58      1011.8         0.0       224.0
31/01/2018 22:00         226         281        1.50        2.70        24.2          60      1011.5         0.0       207.0
31/01/2018 22:10         216         268        1.70        3.10        24.3          61      1011.4         0.0       190.0
31/01/2018 22:20         202         238        1.50        3.00        24.3          61      1011.3         0.0       172.0
31/01/2018 22:30         213         258        1.30        2.30        24.2          61      1011.3         0.0       134.0
31/01/2018 22:40         241         278        1.50        2.90        23.8          63      1011.3         0.0       103.0
