07145 Trappes Observations at 00Z 22 Dec 2017
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1018.0    168    9.4    8.6     95   6.93    320     12  281.1  300.2  282.3
 1012.0    217    9.4    2.4     62   4.52    317     12  281.6  294.4  282.4
 1002.0    300    8.6    6.2     85   5.97    311     12  281.6  298.2  282.6
 1000.0    317    8.4    6.0     85   5.90    310     12  281.6  298.0  282.6
  943.0    800    5.4    3.7     89   5.32    284     13  283.3  298.3  284.2
  930.0    914    6.6    4.1     84   5.55    277     13  285.6  301.4  286.6
  925.0    958    6.4    3.9     84   5.50    275     13  285.9  301.5  286.8
  920.0   1002    6.2    3.7     84   5.45    270     13  286.1  301.7  287.0
  850.0   1648    3.4    0.8     83   4.79    275     16  289.7  303.7  290.5
  841.0   1734    3.0    0.4     83   4.71    276     16  290.2  303.9  291.0
  772.0   2424    0.2  -15.8     29   1.45    282     20  294.3  298.9  294.6
  753.0   2624   -0.9  -16.9     29   1.36    284     21  295.2  299.6  295.5
  722.0   2959   -0.3  -20.3     20   1.06    288     23  299.5  303.0  299.7
  700.0   3206   -1.9  -19.9     24   1.13    290     24  300.4  304.1  300.6
  695.0   3263   -2.2  -19.8     25   1.15    290     24  300.6  304.4  300.8
  687.0   3355   -2.7  -19.7     26   1.17    289     24  301.1  305.0  301.3
  636.0   3960   -7.7  -10.7     79   2.67    279     23  302.1  310.6  302.6
  613.0   4244   -9.8  -12.4     82   2.42    275     23  302.8  310.5  303.3
  600.0   4410  -11.1  -13.4     83   2.28    278     23  303.2  310.5  303.6
  515.0   5562  -19.9  -29.9     41   0.62    301     26  306.1  308.3  306.2
  500.0   5780  -21.3  -28.3     53   0.75    305     27  307.0  309.6  307.1
  479.0   6096  -23.1  -26.9     71   0.89    311     28  308.6  311.6  308.7
  445.0   6627  -27.7  -31.0     73   0.65    320     29  309.4  311.7  309.5
  417.0   7096  -31.7  -34.6     75   0.49    320     31  310.0  311.8  310.1
  414.0   7147  -31.9  -34.7     76   0.49    320     32  310.4  312.1  310.5
  400.0   7390  -33.1  -47.1     23   0.14    320     33  311.9  312.4  311.9
  399.0   7408  -33.1  -47.1     23   0.14    320     33  312.1  312.6  312.1
  376.0   7823  -36.5  -42.5     54   0.24    320     36  312.9  313.9  313.0
  350.0   8316  -40.1  -51.1     30   0.10    320     39  314.6  315.0  314.6
  335.0   8614  -42.7  -47.7     58   0.15    320     40  315.0  315.6  315.0
  300.0   9350  -48.7  -54.7     50   0.08    320     45  316.6  316.9  316.6
  250.0  10520  -58.7  -65.7     40   0.02    320     52  318.7  318.8  318.7
  221.0  11277  -65.4  -73.2     33   0.01    320     57  319.8  319.8  319.8
  215.0  11446  -66.9  -74.9     31   0.01    320     53  320.0  320.0  320.0
  202.0  11820  -68.1  -74.4     40   0.01    320     43  323.8  323.9  323.8
  200.0  11880  -68.3  -74.3     42   0.01    320     45  324.4  324.5  324.4
  198.0  11940  -68.5  -74.5     42   0.01    320     46  325.1  325.1  325.1
  188.0  12255  -64.9  -72.7     33   0.01    315     55  335.8  335.8  335.8
  187.0  12287  -64.5  -72.5     32   0.01    316     53  336.9  336.9  336.9
  176.0  12659  -64.4  -72.9     30   0.01    325     34  342.9  343.0  342.9
  150.0  13640  -64.1  -74.1     24   0.01    320     34  359.5  359.5  359.5
  104.0  15880  -63.7  -91.7      1   0.00    311     35  399.9  399.9  399.9
  100.0  16120  -64.1  -92.1      1   0.00    310     35  403.6  403.6  403.6
   94.0  16496  -64.5  -92.4      1   0.00    310     38  409.9  409.9  409.9
   75.0  17870  -66.2  -93.4      1   0.00    335     24  433.8  433.8  433.8
   70.0  18290  -66.7  -93.7      1   0.00    315     30  441.4  441.4  441.4
   68.0  18464  -66.9  -93.9      1   0.00    305     32  444.5  444.6  444.5
   50.0  20310  -69.3  -96.3      1   0.00    320     33  479.8  479.8  479.8
   49.6  20358  -69.3  -96.3      1   0.00    320     33  480.9  480.9  480.9
   45.0  20937  -69.9  -96.7      1   0.00    325     33  492.9  492.9  492.9
   41.0  21491  -70.5  -97.1      1   0.00    295     33  504.7  504.8  504.7
   33.0  22783  -71.9  -98.1      1   0.00    300     25  533.4  533.4  533.4
   30.0  23350  -72.5  -98.5      1   0.00    290     42  546.5  546.5  546.5
   26.0  24183  -73.3  -99.0      1   0.00    300     48  566.9  566.9  566.9
   21.0  25426  -74.6  -99.7      1   0.00    285     40  598.7  598.7  598.7
   20.0  25710  -74.9  -99.9      1   0.00    285     47  606.2  606.2  606.2
   19.0  26007  -75.2 -100.2      1   0.00    285     64  614.2  614.2  614.2
   16.0  27000  -76.3 -101.3      1   0.00    285     50  641.6  641.6  641.6
   15.0  27374  -75.0 -100.0      1   0.00    275     65  658.0  658.0  658.0
   14.5  27571  -74.2  -99.2      1   0.00    275     65  666.8  666.8  666.8
