07145 Trappes Observations at 00Z 22 Jun 2017
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  995.0    168   25.2   18.2     65  13.40    220      2  298.8  338.0  301.2
  974.0    356   29.6   11.6     33   8.88    221      5  305.0  332.0  306.7
  925.0    811   26.2   10.2     37   8.51    225     12  306.1  332.1  307.7
  902.0   1030   24.4    9.3     38   8.22    230     16  306.5  331.6  308.0
  850.0   1548   20.2    7.2     43   7.55    230     14  307.3  330.6  308.7
  712.0   3043    8.0   -1.0     53   5.02    235      9  309.8  325.7  310.7
  700.0   3183    7.0   -2.0     53   4.74    235      8  310.2  325.3  311.1
  683.0   3384    5.5   -3.5     52   4.34    235      7  310.7  324.6  311.5
  645.0   3851    2.0   -7.0     51   3.52    212     13  311.9  323.3  312.5
  642.0   3889    1.8   -8.1     48   3.25    210     14  312.0  322.6  312.6
  595.0   4499   -1.9  -25.9     14   0.78    228     16  314.6  317.4  314.8
  559.0   4992   -6.1  -13.1     58   2.51    243     17  315.3  323.7  315.8
  548.0   5148   -6.5  -21.5     29   1.26    248     17  316.6  321.1  316.9
  540.0   5263   -7.5  -17.5     45   1.80    252     17  316.8  323.0  317.1
  503.0   5814   -9.9  -32.9     13   0.48    269     19  320.4  322.2  320.4
  500.0   5860  -10.1  -32.1     15   0.52    270     19  320.7  322.6  320.8
  499.0   5875  -10.3  -32.3     15   0.51    271     19  320.6  322.5  320.7
  463.0   6438  -15.0  -30.0     27   0.69    290     21  321.7  324.3  321.9
  413.0   7296  -22.1  -26.4     68   1.08    274     23  323.2  327.1  323.4
  400.0   7530  -23.9  -28.9     63   0.88    270     23  323.8  327.1  324.0
  369.0   8108  -28.4  -36.0     48   0.48    260     24  325.4  327.2  325.5
  343.0   8632  -32.5  -42.5     36   0.26    262     26  326.7  327.8  326.8
  304.0   9470  -39.5  -48.5     38   0.15    265     30  328.3  329.0  328.4
  300.0   9560  -40.1  -49.1     38   0.15    265     30  328.7  329.3  328.8
  250.0  10780  -48.9  -54.9     49   0.09    265     35  333.2  333.6  333.2
  208.0  11963  -57.5  -62.0     56   0.04    270     40  337.8  338.0  337.8
  207.0  11994  -57.7  -62.2     56   0.04    270     40  337.9  338.1  337.9
  200.0  12210  -58.9  -63.9     52   0.04    270     38  339.3  339.5  339.3
  194.0  12400  -59.9  -65.9     45   0.03    270     37  340.7  340.8  340.7
  150.0  14010  -58.5  -72.5     15   0.01    275     24  369.1  369.2  369.1
  149.0  14052  -58.5  -72.5     15   0.01    275     24  369.8  369.9  369.8
  143.0  14309  -58.5  -73.8     12   0.01    275     22  374.1  374.2  374.1
  132.0  14811  -58.6  -76.4      8   0.01    295     26  382.6  382.6  382.6
  127.0  15053  -58.7  -77.6      7   0.01    265     27  386.8  386.8  386.8
  107.0  16126  -58.8  -83.1      3   0.00    305     25  405.8  405.9  405.9
  101.0  16488  -58.9  -84.9      2   0.00    292     24  412.5  412.5  412.5
  100.0  16550  -59.3  -85.3      2   0.00    290     24  412.9  412.9  412.9
   99.0  16613  -59.4  -85.6      2   0.00    275     24  413.8  413.8  413.8
   84.7  17583  -61.5  -90.5      1   0.00    317     21  428.5  428.5  428.5
   71.0  18682  -59.3  -89.2      1   0.00      5     17  455.4  455.4  455.4
   70.0  18770  -59.1  -89.1      1   0.00     25     13  457.6  457.6  457.6
   68.0  18953  -58.7  -88.8      1   0.00     55      7  462.2  462.2  462.2
   52.6  20577  -55.5  -86.5      1   0.00      6      1  504.9  504.9  504.9
   51.0  20774  -55.6  -86.6      1   0.00      0      0  509.1  509.1  509.1
   50.0  20900  -55.7  -86.7      1   0.00      5      1  511.8  511.8  511.8
   49.5  20964  -55.7  -86.7      1   0.00      9      2  513.2  513.3  513.2
   44.3  21669  -57.5  -87.5      1   0.00     57     13  525.4  525.4  525.4
   42.0  22009  -56.4  -86.9      1   0.00     80     18  536.1  536.2  536.1
   38.0  22649  -54.4  -85.8      1   0.01    275      5  556.8  556.9  556.8
   36.0  22994  -53.3  -85.2      1   0.01     50     10  568.3  568.4  568.3
   35.6  23065  -53.1  -85.1      1   0.01     52     10  570.7  570.8  570.7
   30.0  24170  -52.9  -84.9      1   0.01     90     12  599.8  599.9  599.8
   29.0  24388  -52.9  -84.9      1   0.01      0      0  605.7  605.8  605.8
   26.0  25092  -52.8  -84.8      1   0.01     55     24  625.2  625.3  625.2
   24.0  25608  -52.7  -84.7      1   0.01     70      8  639.9  640.0  639.9
   23.9  25635  -52.7  -84.7      1   0.01     69      9  640.7  640.8  640.7
   22.0  26177  -49.7  -82.7      1   0.02     50     27  664.9  665.0  664.9
   20.0  26800  -46.3  -80.3      1   0.03     90     24  693.7  694.0  693.7
   19.2  27071  -44.9  -78.9      1   0.04    106     23  706.1  706.6  706.2
   19.0  27142  -44.8  -78.9      1   0.04    110     23  708.5  708.9  708.5
   15.0  28729  -43.5  -78.0      1   0.06     60     16  762.3  763.0  762.3
   14.0  29192  -43.1  -77.7      1   0.07    105     13  778.8  779.6  778.8
   13.0  29690  -42.7  -77.4      1   0.08     60     15  796.9  797.8  796.9
   12.0  30227  -42.3  -77.1      1   0.09     85      7  816.9  817.9  816.9
   11.0  30811  -41.8  -76.8      1   0.10     50     28  839.2  840.5  839.3
   10.8  30935  -41.7  -76.7      1   0.10     54     27  844.0  845.3  844.0
   10.0  31460  -37.3  -74.3      1   0.16     70     22  879.1  881.2  879.2
    9.8  31600  -36.1  -73.1      1   0.20     73     21  888.7  891.3  888.9
    9.0  32205  -34.8  -72.3      1   0.24     85     16  915.5  918.7  915.6
    8.0  33043  -33.1  -71.1      1   0.32    115     27  953.8  958.2  954.0
    7.0  33993  -31.1  -69.8      1   0.45     90     12  999.1 1005.4  999.4
    6.0  35089  -28.8  -68.3      1   0.65     85     24 1054.0 1063.5 1054.4
    5.0  36386  -26.1  -66.5      1   0.99     50     30 1122.7 1138.2 1123.4


