 00Z 01 Jan 2017  3466.80   48.42
 12Z 01 Jan 2017  622.65   40.67
 00Z 02 Jan 2017  1090.55   35.46
 12Z 02 Jan 2017  0.00   17.83
 00Z 03 Jan 2017  0.00   35.72
 12Z 03 Jan 2017  1675.90   53.48
 00Z 04 Jan 2017  1195.56   38.44
 12Z 04 Jan 2017  770.89   28.03
 12Z 05 Jan 2017  0.00   12.85
 00Z 06 Jan 2017  0.00   15.24
 00Z 07 Jan 2017  2.10   17.55
 12Z 07 Jan 2017  497.99   38.03
 00Z 08 Jan 2017  1771.81   48.98
 12Z 08 Jan 2017  310.44   32.62
 00Z 09 Jan 2017  1533.83   37.71
 12Z 09 Jan 2017  972.10   31.04
 00Z 10 Jan 2017  0.00   32.33
 12Z 10 Jan 2017  0.00   12.08
 12Z 11 Jan 2017  0.00   19.21
 00Z 12 Jan 2017  0.00   23.43
 12Z 12 Jan 2017  10.08   25.28
 12Z 13 Jan 2017  1489.93   52.52
 00Z 14 Jan 2017  0.00   22.97
 00Z 15 Jan 2017  0.00   18.74
 12Z 15 Jan 2017  178.42   30.52
 12Z 16 Jan 2017  174.69   47.67
 00Z 17 Jan 2017  347.28   42.25
 12Z 17 Jan 2017  446.85   31.43
 00Z 18 Jan 2017  1504.68   32.48
 12Z 18 Jan 2017  0.00   16.65
 00Z 19 Jan 2017  0.00   19.54
 12Z 19 Jan 2017  60.11   32.62
 00Z 20 Jan 2017  2671.23   41.10
 12Z 20 Jan 2017  46.25   43.36
 00Z 21 Jan 2017  30.76   29.01
 12Z 21 Jan 2017  397.69   29.82
 00Z 22 Jan 2017  334.54   30.09
 12Z 22 Jan 2017  1118.60   32.82
 00Z 23 Jan 2017  475.73   33.55
 12Z 23 Jan 2017  933.09   38.99
 12Z 24 Jan 2017  248.71   29.88
 00Z 25 Jan 2017  291.09   31.35
 12Z 25 Jan 2017  1.05   22.41
 00Z 26 Jan 2017  0.85   16.38
 12Z 26 Jan 2017  0.00   16.18
 00Z 27 Jan 2017  0.00   18.29
 12Z 27 Jan 2017  0.00   17.46
 00Z 28 Jan 2017  0.00   20.93
 12Z 28 Jan 2017  0.00   16.29
 00Z 29 Jan 2017  0.00   18.17
 12Z 29 Jan 2017  0.00   16.64
 00Z 30 Jan 2017  171.46   18.78
 12Z 30 Jan 2017  427.79   22.88
 00Z 31 Jan 2017  1059.45   35.90
 12Z 31 Jan 2017  363.14   46.63
 00Z 01 Feb 2017  396.61   39.44
 12Z 01 Feb 2017  0.00   46.36
 00Z 02 Feb 2017  199.70   36.20
 12Z 02 Feb 2017  0.00   23.42
 00Z 03 Feb 2017  0.00   20.83
 12Z 03 Feb 2017  5.93   21.61
 00Z 04 Feb 2017  62.71   30.69
 12Z 04 Feb 2017  246.87   29.73
 00Z 05 Feb 2017  7.01   50.24
 12Z 05 Feb 2017  1.11   28.22
 00Z 06 Feb 2017  0.00   29.95
 12Z 06 Feb 2017  0.00   17.12
 00Z 07 Feb 2017  0.00   15.63
 12Z 07 Feb 2017  0.00   16.22
 00Z 08 Feb 2017  0.00   20.27
 12Z 08 Feb 2017  0.00   23.46
 00Z 09 Feb 2017  0.00   23.98
 12Z 09 Feb 2017  21.81   32.27
 00Z 10 Feb 2017  62.16   34.65
 12Z 10 Feb 2017  674.35   40.10
 00Z 11 Feb 2017  1252.15   32.11
 12Z 11 Feb 2017  0.00   26.71
 00Z 12 Feb 2017  0.69   29.56
