01 01 2017, 3466.80, 48.42
02 01 2017, 1090.55, 35.46
03 01 2017, 0.00, 35.72
04 01 2017, 1195.56, 38.44
06 01 2017, 0.00, 15.24
07 01 2017, 2.10, 17.55
08 01 2017, 1771.81, 48.98
09 01 2017, 1533.83, 37.71
10 01 2017, 0.00, 32.33
12 01 2017, 0.00, 23.43
14 01 2017, 0.00, 22.97
15 01 2017, 0.00, 18.74
17 01 2017, 347.28, 42.25
18 01 2017, 1504.68, 32.48
19 01 2017, 0.00, 19.54
20 01 2017, 2671.23, 41.10
21 01 2017, 30.76, 29.01
22 01 2017, 334.54, 30.09
23 01 2017, 475.73, 33.55
25 01 2017, 291.09, 31.35
26 01 2017, 0.85, 16.38
27 01 2017, 0.00, 18.29
28 01 2017, 0.00, 20.93
29 01 2017, 0.00, 18.17
30 01 2017, 171.46, 18.78
31 01 2017, 1059.45, 35.90
01 02 2017, 396.61, 39.44
02 02 2017, 199.70, 36.20
03 02 2017, 0.00, 20.83
04 02 2017, 62.71, 30.69
05 02 2017, 7.01, 50.24
06 02 2017, 0.00, 29.95
07 02 2017, 0.00, 15.63
08 02 2017, 0.00, 20.27
09 02 2017, 0.00, 23.98
10 02 2017, 62.16, 34.65
11 02 2017, 1252.15, 32.11
12 02 2017, 0.69, 29.56
13 02 2017, 57.51, 35.66
14 02 2017, 155.16, 47.47
15 02 2017, 51.57, 44.65
16 02 2017, 398.65, 28.88
17 02 2017, 742.74, 39.24
18 02 2017, 2111.95, 34.86
19 02 2017, 650.55, 24.39
20 02 2017, 1045.42, 25.13
21 02 2017, 196.47, 31.73
22 02 2017, 141.90, 43.21
24 02 2017, 1070.23, 28.73
25 02 2017, 1711.39, 29.78
26 02 2017, 2198.94, 37.10
27 02 2017, 1562.09, 46.66
28 02 2017, 300.68, 48.20
03 03 2017, 317.60, 48.12
04 03 2017, 0.00, 22.45
05 03 2017, 0.00, 24.24
06 03 2017, 3.02, 23.29
07 03 2017, 593.53, 28.80
08 03 2017, 0.00, 29.37
11 03 2017, 0.00, 9.77
12 03 2017, 0.00, 21.32
13 03 2017, 0.00, 12.63
15 03 2017, 0.00, 17.60
18 03 2017, 0.00, 18.86
19 03 2017, 0.00, 17.24
20 03 2017, 0.00, 17.41
21 03 2017, 0.00, 19.51
22 03 2017, 182.26, 32.05
23 03 2017, 671.89, 38.74
24 03 2017, 1462.89, 39.36
25 03 2017, 230.33, 33.86
26 03 2017, 396.80, 31.76
27 03 2017, 613.86, 34.79
28 03 2017, 115.19, 33.14
29 03 2017, 0.00, 28.35
30 03 2017, 15.51, 28.77
31 03 2017, 232.49, 40.13
01 04 2017, 0.00, 36.10
02 04 2017, 0.00, 26.24
03 04 2017, 0.00, 41.10
04 04 2017, 0.00, 14.99
05 04 2017, 457.94, 32.42
06 04 2017, 0.00, 13.11
07 04 2017, 0.00, 17.39
08 04 2017, 41.62, 31.32
09 04 2017, 534.00, 48.53
