 12Z 01 Jan 2017  622.65   40.67
 12Z 02 Jan 2017  0.00   17.83
 12Z 03 Jan 2017  1675.90   53.48
 12Z 04 Jan 2017  770.89   28.03
 12Z 05 Jan 2017  0.00   12.85
 12Z 07 Jan 2017  497.99   38.03
 12Z 08 Jan 2017  310.44   32.62
 12Z 09 Jan 2017  972.10   31.04
 12Z 10 Jan 2017  0.00   12.08
 12Z 11 Jan 2017  0.00   19.21
 12Z 12 Jan 2017  10.08   25.28
 12Z 13 Jan 2017  1489.93   52.52
 12Z 15 Jan 2017  178.42   30.52
 12Z 16 Jan 2017  174.69   47.67
 12Z 17 Jan 2017  446.85   31.43
 12Z 18 Jan 2017  0.00   16.65
 12Z 19 Jan 2017  60.11   32.62
 12Z 20 Jan 2017  46.25   43.36
 12Z 21 Jan 2017  397.69   29.82
 12Z 22 Jan 2017  1118.60   32.82
 12Z 23 Jan 2017  933.09   38.99
 12Z 24 Jan 2017  248.71   29.88
 12Z 25 Jan 2017  1.05   22.41
 12Z 26 Jan 2017  0.00   16.18
 12Z 27 Jan 2017  0.00   17.46
 12Z 28 Jan 2017  0.00   16.29
 12Z 29 Jan 2017  0.00   16.64
 12Z 30 Jan 2017  427.79   22.88
 12Z 31 Jan 2017  363.14   46.63
 12Z 01 Feb 2017  0.00   46.36
 12Z 02 Feb 2017  0.00   23.42
 12Z 03 Feb 2017  5.93   21.61
 12Z 04 Feb 2017  246.87   29.73
 12Z 05 Feb 2017  1.11   28.22
 12Z 06 Feb 2017  0.00   17.12
 12Z 07 Feb 2017  0.00   16.22
 12Z 08 Feb 2017  0.00   23.46
 12Z 09 Feb 2017  21.81   32.27
 12Z 10 Feb 2017  674.35   40.10
 12Z 11 Feb 2017  0.00   26.71
 12Z 12 Feb 2017  127.35   48.66
 12Z 13 Feb 2017  0.00   49.67
 12Z 14 Feb 2017  10.58   51.53
 12Z 15 Feb 2017  63.43   37.38
 12Z 16 Feb 2017  315.25   32.93
 12Z 17 Feb 2017  1479.64   38.27
 12Z 18 Feb 2017  0.00   36.21
 12Z 19 Feb 2017  51.01   22.12
 12Z 20 Feb 2017  966.24   25.01
 12Z 21 Feb 2017  1833.99   42.84
 12Z 23 Feb 2017  2234.93   48.55
 12Z 24 Feb 2017  1135.71   29.35
 12Z 25 Feb 2017  349.00   29.73
 12Z 26 Feb 2017  1495.92   42.47
 12Z 27 Feb 2017  413.75   42.78
 12Z 01 Mar 2017  1482.38   40.50
 12Z 02 Mar 2017  1418.49   39.82
 12Z 03 Mar 2017  0.00   26.22
 12Z 04 Mar 2017  0.99   29.18
 12Z 05 Mar 2017  0.11   21.96
 12Z 06 Mar 2017  22.21   23.60
 12Z 08 Mar 2017  20.39   27.02
